Re_delta Re_delta_std Re_dh Re_dh_std Pr Pr_std Nu_pt Nu_pt_std Nu_glo Nu_glo_std Ja Ja_std Gr Gr_std Sh Sh_std alpha alpha_std m_pt m_pt_std q_pt q_pt_std q_glo q_glo_std q_w q_w_std T_w T_w_std T_in T_in_std T_out T_out_std T_mean T_mean_std dp_in dp_in_std dp_out dp_out_std m_diff m_diff_std m_water m_water_std Fr Fr_std Ri rH Nu_sen Nu_sen_std q_sen q_sen_std m_air m_air_std case
5.94245186e-02 2.17433994e-03 2.06951495e+03 2.61613926e+00 7.65028417e-01 9.15496028e-04 1.13227713e+01 4.19974734e-01 2.18292612e+01 7.89013980e-01 8.42813653e-03 7.13968688e-05 2.42957954e+06 2.14273408e+04 1.27423218e+01 2.32457573e-01 1.18958439e+01 4.32600803e-01 4.81136736e-05 1.80666879e-06 1.19696741e+02 4.50041913e+00 1.29088632e+02 8.58346557e-01 2.52138831e+02 9.08635520e+00 5.14854825e+00 2.04021361e-01 3.11911802e+01 2.44099319e-02 2.07713236e+01 6.32695658e-02 2.50327530e+01 4.18257076e-02 1.95235222e+01 3.00973912e-01 1.38400171e+01 2.06657375e-01 1.40444853e-06 1.36232217e-10 1.57571558e-04 2.95510874e-06 4.34116137e-01 1.52529799e-03 5.67275446e-01 5.02680634e-01 2.41938155e+01 1.28290792e+00 2.55750427e+02 1.34456668e+01 1.12261762e-02 1.20076747e-05 5.00000000e-01
3.98629116e-02 9.42796051e-04 2.08612662e+03 2.68097367e+00 7.54601686e-01 4.13294250e-04 7.53346851e+00 1.64412837e-01 1.60206962e+01 1.86399816e-01 8.45342555e-03 1.25081770e-04 2.47079997e+06 3.71918262e+04 1.33131794e+01 2.60464139e-01 8.70440370e+00 1.02033597e-01 3.22890649e-05 9.20263103e-07 8.03296531e+01 2.30636044e+00 1.25948706e+02 1.32900299e+00 1.86634975e+02 2.96593244e+00 5.13779671e+00 3.47794053e-01 3.11824735e+01 5.77350738e-02 2.08166531e+01 1.19404719e-01 2.52529576e+01 8.16370868e-02 1.58824232e+01 1.32394621e-01 1.13411326e+01 1.74509678e-01 1.40516568e-06 2.65841687e-10 1.25400196e-04 1.08343391e-06 4.39880238e-01 2.36944496e-03 5.67748840e-01 3.99028457e-01 1.56953692e+01 2.38697605e-01 1.67335588e+02 2.82852179e+00 1.12618355e-02 1.58963621e-05 4.00000000e-01
2.28658117e-02 9.65221674e-04 2.10293786e+03 1.95319241e+00 7.44621915e-01 2.88152265e-04 4.25722376e+00 1.79278813e-01 1.26388890e+01 1.49110152e-01 8.56034558e-03 4.86723228e-05 2.52899447e+06 1.41233730e+04 1.63499525e+01 4.20519296e-01 6.84914010e+00 8.09612114e-02 1.85827716e-05 8.14888867e-07 4.62357368e+01 2.03029768e+00 1.22141654e+02 6.25484260e-01 1.49973511e+02 1.94213730e+00 5.02574139e+00 1.38797020e-01 3.12966404e+01 4.75900692e-03 2.10438931e+01 4.86907314e-02 2.55667918e+01 3.11214907e-02 1.16033255e+01 1.62669457e-01 8.36747718e+00 9.73912973e-02 1.40618750e-06 1.01308433e-10 9.48490364e-05 1.05606511e-06 4.46907777e-01 1.10663359e-03 5.71866955e-01 2.99633443e-01 1.21466731e+01 1.28378307e-01 1.31910112e+02 1.45880830e+00 1.12700990e-02 1.08739278e-05 3.00000000e-01
